headline,summary,published_at,url
বাজারে শেয়ারসংখ্যা বাড়াতে রাইট ইস্যু করতে চায় বার্জার,শেয়ারবাজারে নতুন করে আরও ৫ শতাংশ শেয়ার ছাড়তে চায় তালিকাভুক্ত বহুজাতিক কোম্পানি বার্জার পেইন্টস বাংলাদেশ লিমিটেড। কোম্পানিটি নতুন করে অধিকারমূলক বা রাইট শেয়ার ছেড়ে বাজারে তাদের শেয়ারের পরিমাণ বাড়ানোর আগ্রহ প্রকাশ করেছে। ,04-09-2023,https://www.prothomalo.com/business/market/5rrr9d4bvy
"ঢাকার বাজারে আজও লেনদেনের 
শীর্ষে ফু ওয়াং ফুড","বাজার সংশ্লিষ্ট মানুষেরা বরাবরই ফু ওয়াং ও খান ব্রাদার্সের মতো কোম্পানির শেয়ার নিয়ে কারসাজির কথা বলছেন, কিন্তু তদন্ত হচ্ছে না।",03-09-2023,https://www.prothomalo.com/business/market/mxt8tzko9s
"ছয় মাসে হিমাদ্রির শেয়ারদর বেড়ে ১০৬ গুণ, অতঃপর তদন্ত",কোম্পানিটির ৩৫ টাকার শেয়ারের দাম ছয় মাসের ব্যবধানে বেড়ে হয়েছে ৩ হাজার ৭১৪ টাকা। সেই হিসাবে কোম্পানিটির শেয়ারের দাম ছয় মাসে ১০৬ গুণ বা ৩ হাজার ৬৭৯ টাকা বেড়েছে।,03-09-2023,https://www.prothomalo.com/business/market/cj5vyx6mht
"শেয়ারবাজারে ব্যাংকের বিনিয়োগ হিসাব 
থেকে বাদ যাবে বন্ড, ডিবেঞ্চার",বাংলাদেশ ব্যাংকের নতুন এ নির্দেশনায় শেয়ারবাজারে ব্যাংকের বিনিয়োগ হিসাব করার একটি ছকও যুক্ত করে দেওয়া হয়েছে। ওই ছক মেনেই এখন থেকে ব্যাংকগুলোকে তাদের শেয়ারবাজারে বিনিয়োগের হিসাব জমা দিতে হবে কেন্দ্রীয় ব্যাংকে।,01-09-2023,https://www.prothomalo.com/business/market/t8qitq8ane
ঢাকার শেয়ারবাজারে লেনদেনের শীর্ষে ইস্টার্ন হাউজিং,কোম্পানিটির মুনাফা ও লভ্যাংশ বৃদ্ধির খবরে এটি লেনদেনের শীর্ষ তালিকায় উঠে এসেছে।,31-08-2023,https://www.prothomalo.com/business/market/5mm28qehh7
লেনদেনের ১৮% তিন কোম্পানির দখলে,"ফু–ওয়াং ফুড, এমারেল্ড অয়েল ও জেমিনি সি ফুড—এই তিন কোম্পানির দখলে ছিল গতকালের বাজারের প্রায় ১৮ শতাংশ লেনদেন। বাজার–সংশ্লিষ্ট ব্যক্তিরা বলছেন, বেশ কিছুদিন ধরে শেয়ারবাজারের লেনদেনে যেসব কোম্পানির আধিপত্য চলছে, সেগুলো নিয়ে নানা ধরনের কারসাজির ঘটনা ঘটছে।",30-08-2023,https://www.prothomalo.com/business/market/ujr4vdtcve
লেনদেনের তালিকায় দ্বিতীয় স্থানে উঠে এসেছে ইন্ট্রাকো রিফুয়েলিং,"ঢাকার শেয়ারবাজারে আজ সকাল থেকে কিছুটা নেতিবাচক প্রবণতা দেখা যাচ্ছে। সূচক কিছুটা ওঠানামা করছে। যেসব কোম্পানির শেয়ার লেনদেন হয়েছে, দিনের প্রথম ঘণ্টায় তাদের বেশির ভাগের দাম বেড়েছে",29-08-2023,https://www.prothomalo.com/business/market/uogt91w4bt
প্রথম ৩০ মিনিটেই লেনদেন ১০০ কোটি টাকা ছাড়াল,"ফলে সূচকও আজ চাঙা; প্রথম ঘণ্টায় বাজারের প্রধান সূচক ডিএসইএক্স বেড়েছে ১২ দশমিক ৩৫ পয়েন্ট, ডিএসইএস বেড়েছে ৩ দশমিক ৩৫ পয়েন্ট, ডিএস ৩০ সূচক বেড়েছে ৮ দশমিক ২৫ পয়েন্ট।",28-08-2023,https://www.prothomalo.com/business/market/dwumapss2d
কারসাজি হওয়া শেয়ারগুলোই লেনদেনের শীর্ষে,আজ দিনের প্রথম এক ঘণ্টা লেনদেনের পর ঢাকার শেয়ারবাজারের তিনটি সূচকই ঊর্ধ্বমুখী। প্রধান সূচক ডিএসইএক্স বেড়েছে ১২ দশমিক ৩২ পয়েন্ট; ডিএসইএস বেড়েছে ৩ দশমিক ৪৩ পয়েন্ট; ডিএস ৩০ বেড়েছে ৮ দশমিক ৬৫ পয়েন্ট। এই সময়ে লেনদেন হয়েছে ১১৫ কোটি টাকার শেয়ার।,27-08-2023,https://www.prothomalo.com/business/market/f7qr5t2b1o
কোম্পানি চালুর খবরে লেনদেনের শীর্ষ তালিকায় মিরাকল ইন্ডাস্ট্রিজ,ঢাকার শেয়ারবাজারে সম্প্রতি বন্ধ থাকা কোম্পানির শেয়ারের দরবৃদ্ধির একটি ধারা দেখা যাচ্ছে। আজও তাই ঘটেছে। লেনদেনের দ্বিতীয় স্থানে উঠে এসেছে বন্ধ থাকা একটি কোম্পানি,24-08-2023,https://www.prothomalo.com/business/market/r2qu28p41p
"শেয়ারবাজার: লেনদেনে এগিয়ে খাদ্য, প্লাস্টিক ও বিমা কোম্পানি",আজ বুধবার সকাল থেকে শেয়ার লেনদেনে  কিছুটা ধীরগতি ও ওঠানামা লক্ষ করা গেছে।,23-08-2023,https://www.prothomalo.com/business/market/pd1a642u7q
"আইনে আছে কর অব্যাহতি, এনবিআর বলছে কাটা হবে কর","মিউচুয়াল ফান্ড পরিচালনার সঙ্গে যুক্ত সম্পদ ব্যবস্থাপকদের মধ্যে নির্দেশনাটি নিয়ে ক্ষোভ তৈরি হয়েছে। তাঁরা বলছেন, নতুন আয়কর আইনে মিউচুয়াল ফান্ডের সব ধরনের আয়কে করমুক্ত রাখা হয়েছে। কিন্তু এখন এনবিআরের ব্যাখ্যায় উৎসে কর কাটা শুরু হলে তাতে মিউচুয়াল ফান্ডের আয় কমবে এবং এ খাতে বিরূপ প্রভাব পড়বে।",23-08-2023,https://www.prothomalo.com/business/r6kbklmusc
লেনদেনের তালিকায় দ্বিতীয় স্থানে আমরা নেটওয়ার্ক,তথ্য প্রযুক্তি খাত মূল্যবৃদ্ধিতে এগিয়ে আছে। অন্যান্য খাতের মধ্যে সিরামিক খাতের শেয়ারের দাম বেড়েছে,22-08-2023,https://www.prothomalo.com/business/market/1p2iz4ypjf
ঢাকার শেয়ারবাজারে আজ ঊর্ধ্বমুখী ধারা,"অনেক দিন পর দেখা যাচ্ছে, যেসব কোম্পানির শেয়ার মূল্যস্তরের বাইরে আছে, তাদের দাম বাড়ছে। লেনদেনেও এক ধরনের গতি দেখা যাচ্ছে। লেনদেন বাড়লে বোঝা যায়, বাজারে বিনিয়োগকারীদের অংশগ্রহণ বেড়েছে।",21-08-2023,https://www.prothomalo.com/business/market/mkxubqm255
" তলানিতে চীনের শেয়ারবাজার, চাঙা করতে একগুচ্ছ প্যাকেজ ঘোষণা","চীনের ডুবন্ত শেয়ারবাজারকে উদ্ধার করতে দেশটির নিয়ন্ত্রক সংস্থা নতুন প্যাকেজ ঘোষণা করেছে। তবে বিনিয়োগকারীরা বলছেন, অর্থনীতিতে গতি না ফিরলে এই প্যাকেজ তেমন একটা কাজে আসবে না।",20-08-2023,https://www.prothomalo.com/business/market/s6dc7kzqm5
বৃহস্পতিবারের কৃত্রিম উত্থান টিকল না একদিনও,আজ সপ্তাহের প্রথম কার্যদিবসে সিংহভাগ কোম্পানির শেয়ারের দামও কমেছে।,20-08-2023,https://www.prothomalo.com/business/market/px5sehjzfz
বিক্রি থামিয়ে কৃত্রিম উত্থান শেয়ারবাজারে ,শেয়ার বিক্রি কমিয়ে পতন থামানো হলো শেয়ারবাজারে। এতে গতকাল বৃহস্পতিবার দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের (ডিএসই) প্রধান সূচক ৩৪ পয়েন্ট বেড়েছে। তবে লেনদেন নেমেছে ৩০০ কোটি টাকার নিচে,18-08-2023,https://www.prothomalo.com/business/market/offo3t07ui
অংশীজনদের সঙ্গে বৈঠকের খবরে শেয়ারবাজারে কৃত্রিম উত্থান,"বেশির ভাগ শেয়ারের দাম বেড়েছে, তবে লেনদেন তেমন একটা হয়নি। অর্থাৎ বাজারে বিনিয়োগকারীদের অংশগ্রহণ কম।",17-08-2023,https://www.prothomalo.com/business/market/icz4h3l65h
"তলানির দিকে নেমেছে লেনদেন, করণীয় নির্ধারণে আজ সভা","শেয়ারবাজারের সবচেয়ে ভালো কোম্পানিগুলোর একটি স্কয়ার ফার্মার শেয়ার গতকাল আবারও ফ্লোর প্রাইসে (২০৯ টাকা ৮০ পয়সা) নেমে এসেছে। এদিন আরও যেসব কোম্পানির শেয়ারের দাম ফ্লোর প্রাইসে নেমে এসেছে তার মধ্যে রয়েছে– শাহ্‌জালাল ব্যাংক, এশিয়া ইনস্যুরেন্স, মীর আকতার, সন্ধানী ইনস্যুরেন্স, ইউনাইটেড ইনস্যুরেন্স, রহিমা ফুড, মুন্নু সিরামিক, স্ট্যান্ডার্ড সিরামিক ও অ্যাপেক্স ট্যানারি।",17-08-2023,https://www.prothomalo.com/business/market/o088p3lgeq
পুঁজিবাজারে বড় সমস্যা সর্বনিম্ন মূল্যস্তর,"বহুজাতিক ব্যাংকটি বলছে, বাংলাদেশের বাজার ছোট এবং তারল্যও অপর্যাপ্ত,আগামী ২০৩০ সালের মধ্যে বাংলাদেশের ভোক্তাবাজার জার্মানি, যুক্তরাজ্য, ফিলিপাইনস ও ভিয়েতনামকেও ছাড়িয়ে যাবে। ২০২১ সালে ভোক্তাবাজারে বাংলাদেশ ছিল ১৬তম অবস্থানে। ২০৩০ সালে বাংলাদেশ নবম স্থানে উঠে আসবে।",17-08-2023,https://www.prothomalo.com/business/market/axchrl6jgr
পুঁজিবাজারে ব্যবসা সম্প্রসারণের উদ্যোগ ডাচ্‌–বাংলা ব্যাংকের,"দ্বিতীয়ত, ডাচ্‌–বাংলা ব্যাংকের শতভাগ মালিকানায় ডাচ্‌–বাংলা ব্যাংক ইনভেস্টমেন্ট লিমিটেড নামের আরেকটি কোম্পানি গঠন করা হবে। এ কোম্পানির প্রস্তাবিত পরিশোধিত মূলধন ২৫ কোটি টাকা।",16-08-2023,https://www.prothomalo.com/business/market/0rezp89hpg
এমএফএস কোম্পানি করবে প্রাইম ব্যাংক ,প্রস্তাবিত ব্যাংকের পরিশোধিত মূলধনের ১২ কোটি ৫০ লাখ টাকা জোগান দেবে প্রাইম ব্যাংক। ডিজি ১০ ব্যাংক পিএলসির মোট পরিশোধিত মূলধন হবে ১২৫ কোটি টাকা।,16-08-2023,https://www.prothomalo.com/business/market/cd5oqex4vk
"বিনিয়োগকারীরা হতাশ, বেড়েছে বিক্রির চাপ","বিভিন্ন ব্রোকারেজ হাউসের শীর্ষ নির্বাহীদের সঙ্গে কথা বলে বিনিয়োগকারীদের শেয়ার বিক্রি করে দেওয়ার প্রবণতা সম্পর্কে জানা যায়। তাঁরা বলছেন, বাজারে নতুন কোনো বিনিয়োগ নেই। আরও বেশি লোকসান হতে পারে, এ শঙ্কায় যে যেখানে পারছেন শেয়ার বিক্রি করে দিচ্ছেন।",15-08-2023,https://www.prothomalo.com/business/market/79jcpn5a67
"ঢাকার শেয়ারবাজারে সূচকের বড় পতন, বেশিরভাগ শেয়ারের দাম কমেছে","বাজারের দরপতন সম্পর্কে ব্রোকারেজ হাউসগুলো বলছে, সকাল থেকে সব শ্রেণির বিনিয়োগকারীদের মধ্যে শেয়ার বিক্রির প্রবণতা দেখা যাচ্ছে।",14-08-2023,https://www.prothomalo.com/business/market/q50z06vywh
আজ ঢাকার শেয়ারবাজারে আবারও লেনদেনের শীর্ষে ফুওয়াং ফুড,"আজ সকালে বেশির ভাগ কোম্পানির শেয়ারদর বাড়লেও সূচকেও তার তেমন প্রভাব নেই। সূচক কিছুটা নিম্নমুখী ধারায়। তবে বেলা বাড়ার সঙ্গে সঙ্গে দর বৃদ্ধি পাওয়া কোম্পানির সংখ্যা কমছে, যার প্রভাব সূচকে দেখা যাচ্ছে।",13-08-2023,https://www.prothomalo.com/business/market/0n7ndskogb
পুঁজিবাজারে সাড়ে চার মাসের মধ্যে সর্বনিম্ন লেনদেন,"ঢাকার বাজারে আজ খাদ্য খাতের কোম্পানিগুলোর সম্মিলিত লেনদেনের পরিমাণ ছিল প্রায় ৭৫ কোটি টাকা। এর মধ্যে ফু–ওয়াং ফুড ও এমারেল্ড অয়েলের লেনদেনের পরিমাণ ছিল ৪৩ কোটি টাকা, যা ডিএসইর মোট লেনদেনের ১১ শতাংশ।",10-08-2023,https://www.prothomalo.com/business/market/f6n7h4ocht
লেনদেনের শীর্ষ তালিকায় উঠে এল উৎপাদনে না থাকা খান ব্রাদার্স,"বেশির ভাগ কোম্পানির শেয়ারের দাম হয় অপরিবর্তিত আছে, না হয় কমেছে।",10-08-2023,https://www.prothomalo.com/business/market/jcez3p4wgk
"ঢাকার বাজারে লেনদেনে ধীরগতি, সূচক নিম্নমুখী","আজ বেশির ভাগ শেয়ারের দাম কমেছে, সে কারণে সূচকও ঋণাত্মক।",09-08-2023,https://www.prothomalo.com/business/market/eww5reqrer
৮৬ দিন পর ডিএসইর লেনদেন আবার ৪০০ কোটি টাকার নিচে,"আজ মঙ্গলবার দিন শেষে ডিএসইতে লেনদেনের পরিমাণ দাঁড়ায় ৩৮৬ কোটি টাকায়, যা ৮৬ দিনের মধ্যে সর্বনিম্ন। এর আগে সর্বশেষ চলতি বছরের ২৯ মার্চ ডিএসইতে সর্বনিম্ন ৩৮৩ কোটি টাকার লেনদেন হয়েছিল।",08-08-2023,https://www.prothomalo.com/business/market/4btccnbma4
এক বছর পর নতুন এমডি পেল ডিএসই,বিএসইসি আজ মঙ্গলবার ডিএসইর এমডি হিসেবে তারিকুজ্জামানের নিয়োগ অনুমোদন করেছে। এদিনই তা চিঠি দিয়ে ডিএসইর চেয়ারম্যানকে জানিয়ে দেওয়া হয়।,08-08-2023,https://www.prothomalo.com/business/market/1uj94nxvoi
দীর্ঘদিন বন্ধ থাকলেও লেনদেনের শীর্ষে উঠে এল খান ব্রাদার্স,উৎপাদনে না থাকলেও গত ছয় মাসে এই কোম্পানির শেয়ারের দাম তিনগুণ হয়েছে। ,08-08-2023,https://www.prothomalo.com/business/market/6udjqr6qs6
"ডিএসইতে কারিগরি ত্রুটি, দুটি তদন্ত কমিটি গঠন", রোববার ডিএসইর কারিগরি ত্রুটির কারণে লেনদেন নিষ্পত্তিতে জটিলতায় পড়ে ৬০টির বেশি ব্রোকারেজ হাউস। এ ঘটনা তদন্তে বিএসইসি ও ডিএসইর পক্ষ থেকে আলাদা দুটি কমিটি গঠন করা হয়েছে।,07-08-2023,https://www.prothomalo.com/business/market/s126fbk666
"ডিএসইতে স্বাভাবিক লেনদেন শুরু,  
ত্রুটি আছে কি না বোঝা যাবে লেনদেন শেষে",,07-08-2023,https://www.prothomalo.com/business/market/yq2cuhojjs
"ভোররাতে বিকল্পপথে লেনদেন নিষ্পত্তি, 
ত্রুটি সারাতে পারেনি ডিএসই","আজ সোমবার সকাল পর্যন্ত এ ত্রুটির কারণ খুঁজে বের করতে পারেনি ডিএসই। কারণ খুঁজে না পাওয়ায় ত্রুটিও সারানো সম্ভব হয়নি বলে ডিএসইর বিশ্বস্ত সূত্রে জানা যায়। তবে এ কারণে যাতে আজ সোমবারের লেনদেন কোনোভাবে বাধাগ্রস্ত না হয়, সে জন্য বিকল্প ব্যবস্থা নেওয়া হয়েছে।",07-08-2023,https://www.prothomalo.com/business/market/hpxr8ak3bh
"১৪ কোম্পানির কার্যক্রম যাচাই 
করবে ডিএসই, লাভ কী তাতে","ডিএসই সূত্রে জানা যায়, কোম্পানিগুলোর মধ্যে কয়েকটি দীর্ঘদিন ধরে সিকিউরিটিজ আইনের বিভিন্ন বিধিবিধান পরিপালন করছে না। কোনো কোনো কোম্পানি লভ্যাংশ ঘোষণার পরও নির্ধারিত সময়ের মধ্যে তা বিনিয়োগকারীদের মধ্যে বিতরণ করছে না। ",07-08-2023,https://www.prothomalo.com/business/market/aiysyw47bn
"ডিএসইতে কারিগরি ত্রুটি, লেনদেন নিষ্পত্তি করতে পারছে না ৬০টির বেশি ব্রোকারেজ হাউস","নিয়মানুযায়ী, প্রতিদিন লেনদেন শেষে লেনদেন নিষ্পত্তির জন্য শেয়ার কেনাবেচা–সংক্রান্ত ডেটা বা তথ্য স্বয়ংক্রিয়ভাবে ব্রোকারেজ হাউসগুলোতে সরবরাহ করে ডিএসই। সে অনুযায়ী শেয়ার সংরক্ষণকারী প্রতিষ্ঠান সেন্ট্রাল ডিপজিটরি বাংলাদেশ লিমিটেড বা সিডিবিএলের মাধ্যমে লেনদেন নিষ্পন্ন করে ব্রোকারেজ হাউসগুলো।",06-08-2023,https://www.prothomalo.com/business/8dl74trkjf
আজ ঢাকার বাজারে লেনদেনের শীর্ষে সোনালী লাইফ ইন্স্যুরেন্স,"লেনদেনেও সামগ্রিকভাবে আজ বিমা খাতেরও আধিপত্য দেখা যাচ্ছে। তবে আজ দিনের প্রথম ঘণ্টার লেনদেনের পর দেখা গেছে, বাজারে তিনটি সূচকই নিম্নমুখী। বাজারের প্রধান ডিএসইএক্স সূচক কমেছে ৪ দশমিক ৬৪ পয়েন্ট; ডিএসইএস সূচক কমেছে ২ পয়েন্ট; ডিএস ৩০ সূচক কমেছে ৫ দশমিক ০২ পয়েন্ট।",06-08-2023,https://www.prothomalo.com/business/market/r98nit4v68
মিউচুয়াল ফান্ডের এক তৃতীয়াংশ বিনিয়োগ যে ১৫ কোম্পানিতে,"বাজারসংশ্লিষ্ট ব্যক্তিদের সঙ্গে কথা বলে জানা যায়, শেয়ারবাজারে ২০১০ সালের ধসের পর থেকে মিউচুয়াল ফান্ডের ওপর থেকে আস্থা হারিয়ে ফেলেন সাধারণ বিনিয়োগকারীরা। কারণ দেশের মিউচুয়াল ফান্ডগুলো ব্যবস্থাপনার দায়িত্বে থাকা একাধিক সম্পদ ব্যবস্থাপক প্রতিষ্ঠানের বেশ কয়েকটি সাধারণ বিনিয়োগকারীদের অর্থ নিয়ে নানা অনিয়ম ও আত্মসাতের ঘটনা ঘটিয়েছে।",06-08-2023,https://www.prothomalo.com/business/market/5qno0k7era
ঢাকার শেয়ারবাজারে লেনদেনের শীর্ষে রহিমা ফুড ,এই সময় পর্যন্ত লেনদেনের শীর্ষে থাকা রহিমা ফুডের শেয়ার লেনদেন হয়েছে ১১ কোটি ২৭ লাখ টাকার; দ্বিতীয় স্থানে থাকা ফুওয়াং ফুডের শেয়ার লেনদেন হয়েছে ৯ কোটি ১৭ লাখ টাকার; তৃতীয় স্থানে থাকা ডেল্টা লাইফ ইন্স্যুরেন্স কোম্পানির শেয়ার লেনদেন হয়েছে ৯ কোটি ১৪ লাখ টাকার।,03-08-2023,https://www.prothomalo.com/business/market/c2sjiz682f
বেস্ট হোল্ডিংসকে শেয়ারবাজারে আনতে আইনি ছাড়,নিয়ন্ত্রক সংস্থা বিএসইসি ২০২০ সালে কোম্পানিটির সরাসরি তালিকাভুক্তি আটকে দিলেও এখন ছাড় দিয়ে কোম্পানিটিকে বাজারে আসার পথ সহজ করে দিয়েছে,03-08-2023,https://www.prothomalo.com/business/market/4rshsah2pl
লেনদেনের শীর্ষে জেএমআই হসপিটাল,"আজ বেলা ১২টা ১৫ মিনিট পর্যন্ত ঢাকার বাজারের তিনটি সূচকই ইতিবাচক ধারায় ছিল। এর মধ্যে ডিএসইএক্স সূচক বেড়েছে ৯ দশমিক ৭৬ পয়েন্ট, ডিএসইএস সূচক বেড়েছে ১ দশমিক ৮৮ পয়েন্ট আর ডিএস ৩০ সূচক বেড়েছে ২ দশমিক ১ পয়েন্ট।",02-08-2023,https://www.prothomalo.com/business/market/ps09qedrnh
লেনদেনের শীর্ষে ওঠার পর দ্বিতীয় স্থানে নেমে গেল গ্রিন ডেল্টা,"আজ রূপালী ব্যাংকেরও বছরের দ্বিতীয় প্রান্তিকের আর্থিক বিবরণী প্রকাশ করা হয়েছে। তাতে দেখা যাচ্ছে, রূপালী ব্যাংকের শেয়ার প্রতি আয় বা ইপিএস উল্লেখযোগ্য হারে বেড়েছে। অনেক দিন পর এই কোম্পানি আজ লেনদেনের শীর্ষ ১০-এর তালিকায় উঠে আসে, যদিও কিছুক্ষণ পরে তা একাদশ স্থানে নেমে যায়।",01-08-2023,https://www.prothomalo.com/business/market/2c23ecc5xq
ঢাকার শেয়ারবাজারে লেনদেনের শীর্ষে জেএমআই হসপিটাল,লেনদেনের তালিকায় শীর্ষে থাকা জেএমআই হসপিটালের শেয়ার লেনদেন হয়েছে ২৯ কোটি ২৫ লাখ টাকার। দ্বিতীয় স্থানে আছে হোটেল সি পার্ল; এই কোম্পানির শেয়ার লেনদেন হয়েছে ১৩ কোটি ৬৯ লাখ টাকার। তৃতীয় স্থানে থাকা ফুওয়াং ফুডের শেয়ার লেনদেন হয়েছে ১৩ কোটি ২৭ লাখ টাকার।,31-07-2023,https://www.prothomalo.com/business/market/ibmwd1hlgt
শেয়ারবাজারে ১২০০ বিনিয়োগকারী ফেরত পেলেন অবণ্টিত লভ্যাংশ,পুঁজিবাজার নিয়ন্ত্রক সংস্থা বিএসইসির উদ্যোগে গঠিত সিএমএসএফের চেয়ারম্যান ও প্রধানমন্ত্রীর সাবেক মুখ্য সচিব নজিবুর রহমান আজ এসব তথ্য জানান। পুঁজিবাজারবিষয়ক সাংবাদিকদের সংগঠন ক্যাপিটাল মার্কেট জার্নালিস্টস ফোরাম বা সিএমজেএফ আয়োজিত ‘সিএমজেএফ টকে’ অংশ নিয়ে তিনি এসব কথা বলেন।  ,30-07-2023,https://www.prothomalo.com/business/market/3z7dwcq391
লেনদেনের শীর্ষ পাঁচে আলহাজ্ব টেক্সটাইল ও শিপিং করপোরেশন  ,লেনদেনের তালিকায় দ্বিতীয় স্থানে থাকা আলহাজ্ব টেক্সটাইলের আজ সর্বোচ্চ মূল্যবৃদ্ধি হয়েছে। যে কারণে এই শেয়ারের আজ বিক্রেতা কম এবং লেনদেনও বেশি হচ্ছে না।,30-07-2023,https://www.prothomalo.com/business/market/5tbkdqgcrd
তিন মাসে রবির মুনাফা ২৪ কোটি টাকার বেশি,"রবি জানিয়েছে, চলতি বছরের দ্বিতীয় প্রান্তিকে তারা প্রায় ২ হাজার ৫৪০ কোটি টাকা আয় করেছে। এ সময়ে কর-পরবর্তী মুনাফা ছিল ২৪ কোটি ৪০ লাখ টাকা। এ ছাড়া ফোর–জি নেটওয়ার্ককে শক্তিশালী করতে উল্লিখিত সময়ে রবি প্রায় ৭৬২ কোটি টাকা বিনিয়োগ করেছে।",27-07-2023,https://www.prothomalo.com/business/market/b1wg3ce9gq
হেলিকপ্টার ব্যবসায় নামছে এসিআই,শুরুতে ছোট পরিসরে বাণিজ্যিকভাবে হেলিকপ্টার ব্যবসা শুরু করবে তারা। পরে ধীরে ধীরে ব্যবসার পরিধি বাড়ানো হবে।,27-07-2023,https://www.prothomalo.com/business/market/jduvxz6irz
"বিমা খাতে মূল্য সংশোধন, লেনদেন চলছে ধীরগতিতে","সকাল থেকে মূল্যবৃদ্ধিতে খাদ্য, তথ্যপ্রযুক্তি, বিবিধ, পেপার ও প্রিন্টিং খাতের বেশির ভাগ কোম্পানি এগিয়ে রয়েছে।",26-07-2023,https://www.prothomalo.com/business/market/a68b046iqd
ঢাকার বাজারে আজ আবারও লেনদেনের শীর্ষে বিমা খাত,"আজ এককভাবে মূল্যবৃদ্ধির শীর্ষে আছে বিমা খাত। এ ছাড়া সিরামিক, তথ্য-প্রযুক্তি ও ভ্রমণ খাত মূল্যবৃদ্ধিতে এগিয়ে আছে। বেশির ভাগ কোম্পানির শেয়ারের দাম অপরিবর্তিত আছে, কারণ সেই কোম্পানিগুলোর শেয়ারের দাম সর্বনিম্ন মূল্যস্তরে আটকে আছে।",25-07-2023,https://www.prothomalo.com/business/market/apbfey5c8b
"সিগারেট বেচে রেকর্ড মুনাফা বিএটিবিসির, ছয় মাসে ২১ হাজার কোটি টাকার ব্যবসা",চলতি বছরের প্রথম ছয় মাসে ২১ হাজার ২৩০ কোটি টাকার রেকর্ড আয় করেছে বহুজাতিক কোম্পানিটি। সিগারেট বিক্রি করেছে ৩ হাজার ৯১১ কোটি পিস।,25-07-2023,https://www.prothomalo.com/business/market/g9px7kx2fn
"সুদের বিনিময়ে অর্থ লেনদেন বন্ধ করতে বলেছে ডিএসই, একজনকে বদলি","ঢাকা স্টক এক্সচেঞ্জের অভ্যন্তরীণ চিঠিতে বলা হয়েছে, আর্থিক লেনদেন অফিস সংস্কৃতির সঙ্গে অসংগতিপূর্ণ ও দৃষ্টিকটু।",24-07-2023,https://www.prothomalo.com/business/market/4fv6nbd3x2
"সংকটেও রেকর্ড মুনাফা সিঙ্গারের, ফ্লোর প্রাইস ভেঙে লেনদেনে",বছরের প্রথম ছয় মাসের বিবেচনায় কোম্পানিটি গত এক যুগের মধ্যে সর্বোচ্চ মুনাফা করেছে চলতি বছরের জানুয়ারি-জুনে। পণ্যের মূল্যবৃদ্ধি ও কাঁচামালের দাম কমার সুফল পেয়েছে কোম্পানিটি।,24-07-2023,https://www.prothomalo.com/business/market/pfg3p8dmgt
যে কারণে আজ লেনদেনের শীর্ষে আলিফ ইন্ডাস্ট্রিজ,আজ ঢাকার শেয়ারবাজারে লেনদেনের প্রথম এক ঘণ্টায় শীর্ষে উঠে এসেছে আলিফ ইন্ডাস্ট্রিজ লিমিটেড। এই কোম্পানি এই প্রথম লেনদেনের শীর্ষে উঠেছে।,23-07-2023,https://www.prothomalo.com/business/market/gkgyddbr3e
"শেয়ারবাজারে বিমার দাপট সপ্তাহজুড়ে, কারসাজির সন্দেহ",ডিএসইতে গত সপ্তাহে মূল্যবৃদ্ধির শীর্ষ ১০ কোম্পানির ৬টিই ছিল বিমা খাতের। ডিএসইর মোট লেনদেনের ১৮ শতাংশই ছিল এ খাতের দখলে।,23-07-2023,https://www.prothomalo.com/business/market/irialptaq6
কিছুক্ষণের জন্য স্থান হারিয়ে আবারও লেনদেনের শীর্ষে ফুওয়াং ফুডস,আজও ঢাকার বাজারে বিমা খাতের প্রাধান্য দেখা যাচ্ছে। দাম বেড়েছে বেশির ভাগ শেয়ারের।,20-07-2023,https://www.prothomalo.com/business/market/vpxmg00v4i
লেনদেনের শীর্ষে উঠে আবার দ্বিতীয় স্থানে নেমে গেলে সি পার্ল,লেনদেনের শীর্ষে উঠে আবার দ্বিতীয় স্থানে নেমে গেলে সি পার্ল।আজ ঢাকার শেয়ারবাজারে লেনদেনের প্রথম ঘণ্টার পর তালিকার শীর্ষে উঠেছিল সি পার্ল। এটিই আজ লেনদেনের বিশেষ দিক,19-07-2023,https://www.prothomalo.com/business/market/yv82ulcbwk
গ্যাস-বিদ্যুতের মূল্যবৃদ্ধিতে মুনাফা কমেছে আর এ কে সিরামিকসের,"বছরের দ্বিতীয় প্রান্তিকের অনরিক্ষীতি হিসাব অনুযায়ী, এপ্রিল-জুন প্রান্তিকে আর এ কে সিরামকসের শেয়ারপ্রতি ছিল ৩০ পয়সা; আগের বছরের একই সময়ে যা ছিল ৪৪ পয়সা।",19-07-2023,https://www.prothomalo.com/business/market/7ttadpvbem
"আর্থিক চাপে গ্রামীণফোন, বিনিয়োগকারীদের দিতে পারল না লভ্যাংশ",শেয়ারবাজারে তালিকাভুক্তির ১৩ বছর এ প্রথম বিনিয়োগকারীদের অন্তর্বর্তীকালীন লভ্যাংশ দিতে পারেনি টেলিকম খাতের দেশের শীর্ষ কোম্পানি গ্রামীণফোন।,19-07-2023,https://www.prothomalo.com/business/market/n5k74eln3q
বছরের প্রথম ছয় মাসে মুনাফা বেড়েছে গ্রামীণফোনের,,18-07-2023,https://www.prothomalo.com/business/market/ro6gzjex41
